drug,slug,route,half_life_h,CL_abs_L_h_at_70kg,V_abs_L_at_70kg,F,spec_file,pk_file,sources_n,targets_file
Abciximab,abciximab,iv,0.3333333333333333,4.32,100.8,1.0,drugs/abciximab/spec_pk1_iv.yml,drugs/abciximab/pk.yml,4,drugs/abciximab/targets.yml
Aciclovir,aciclovir,po,2.5,19.62,42.0,0.1,drugs/aciclovir/spec_pk1_oral.yml,drugs/aciclovir/pk.yml,3,drugs/aciclovir/targets.yml
Albuterol,albuterol,iv,3.86,28.8,160.38152230554428,1.0,drugs/albuterol/spec_pk1_iv.yml,drugs/albuterol/pk.yml,1,drugs/albuterol/targets.yml
Alfentanil,alfentanil,iv,3.25,21.0,70.0,1.0,drugs/alfentanil/spec_pk1_iv.yml,drugs/alfentanil/pk.yml,1,drugs/alfentanil/targets.yml
Alprazolam,alprazolam,po,12.5,6.3,91.0,0.9,drugs/alprazolam/spec_pk1_oral.yml,drugs/alprazolam/pk.yml,1,drugs/alprazolam/targets.yml
Amikacin,amikacin,iv,2.0,6.0,24.0,1.0,drugs/amikacin/spec_pk1_iv.yml,drugs/amikacin/pk.yml,1,drugs/amikacin/targets.yml
Apixaban,apixaban,po,12.0,3.3,57.130723619202946,0.5,drugs/apixaban/spec_pk1_oral.yml,drugs/apixaban/pk.yml,1,drugs/apixaban/targets.yml
Atazanavir,atazanavir,po,4.6,12.9,88.3,,drugs/atazanavir/spec_pk1_oral.yml,drugs/atazanavir/pk.yml,2,drugs/atazanavir/targets.yml
Buprenorphine,buprenorphine,iv,10.345863472802147,54.0,806.0,1.0,drugs/buprenorphine/spec_pk1_iv.yml,drugs/buprenorphine/pk.yml,1,drugs/buprenorphine/targets.yml
Carbamazepine,carbamazepine,po,14.5,4.8,100.41157484587185,1.0,drugs/carbamazepine/spec_pk1_oral.yml,drugs/carbamazepine/pk.yml,1,drugs/carbamazepine/targets.yml
CDA1,cda1,iv,656.4000000000001,0.00588,4.9,1.0,drugs/cda1/spec_pk1_iv.yml,drugs/cda1/pk.yml,2,drugs/cda1/targets.yml
Cimetidine,cimetidine,po,2.0,30.0,56.0,0.65,drugs/cimetidine/spec_pk1_oral.yml,drugs/cimetidine/pk.yml,1,drugs/cimetidine/targets.yml
Clarithromycin,clarithromycin,po,5.0,58.1,172.0,0.525,drugs/clarithromycin/spec_pk1_oral.yml,drugs/clarithromycin/pk.yml,3,drugs/clarithromycin/targets.yml
Dapagliflozin,dapagliflozin,po,12.9,12.42,231.14571406114794,0.78,drugs/dapagliflozin/spec_pk1_oral.yml,drugs/dapagliflozin/pk.yml,1,drugs/dapagliflozin/targets.yml
Efavirenz,efavirenz,po,58.0,13.9,1163.1007419646824,,drugs/efavirenz/spec_pk1_oral.yml,drugs/efavirenz/pk.yml,2,drugs/efavirenz/targets.yml
Erythromycin,erythromycin,iv,2.3,37.1,123.10516783905524,1.0,drugs/erythromycin/spec_pk1_iv.yml,drugs/erythromycin/pk.yml,1,drugs/erythromycin/targets.yml
Ethinylestradiol,ethinylestradiol,po,17.05,25.7,632.1673264919305,0.43,drugs/ethinylestradiol/spec_pk1_oral.yml,drugs/ethinylestradiol/pk.yml,2,drugs/ethinylestradiol/targets.yml
Felodipine,felodipine,po,24.5,90.0,700.0,0.15,drugs/felodipine/spec_pk1_oral.yml,drugs/felodipine/pk.yml,2,drugs/felodipine/targets.yml
Fluconazole,fluconazole,iv,30.0,0.966,41.80930228496216,1.0,drugs/fluconazole/spec_pk1_iv.yml,drugs/fluconazole/pk.yml,1,drugs/fluconazole/targets.yml
Fluvoxamine,fluvoxamine,po,18.5,65.56797653945428,1750.0,0.53,drugs/fluvoxamine/spec_pk1_oral.yml,drugs/fluvoxamine/pk.yml,8,drugs/fluvoxamine/targets.yml
Inulin,inulin,iv,3.0,7.2,16.0,1.0,drugs/inulin/spec_pk1_iv.yml,drugs/inulin/pk.yml,2,drugs/inulin/targets.yml
Itraconazole,itraconazole,po,22.0,16.68,700.0,0.55,drugs/itraconazole/spec_pk1_oral.yml,drugs/itraconazole/pk.yml,1,drugs/itraconazole/targets.yml
Mefenamic acid,mefenamic_acid,po,3.0,21.13,74.2,,drugs/mefenamic_acid/spec_pk1_oral.yml,drugs/mefenamic_acid/pk.yml,2,drugs/mefenamic_acid/targets.yml
Metoprolol,metoprolol,po,5.0,48.0,346.2468098133512,0.5,drugs/metoprolol/spec_pk1_oral.yml,drugs/metoprolol/pk.yml,2,drugs/metoprolol/targets.yml
Mexiletine,mexiletine,po,11.0,30.87655622494302,490.0,0.9,drugs/mexiletine/spec_pk1_oral.yml,drugs/mexiletine/pk.yml,2,drugs/mexiletine/targets.yml
Moclobemide,moclobemide,po,1.5,78.0,105.0,0.73,drugs/moclobemide/spec_pk1_oral.yml,drugs/moclobemide/pk.yml,3,drugs/moclobemide/targets.yml
Montelukast,montelukast,po,6.7,1.8479999999999999,9.7,0.615,drugs/montelukast/spec_pk1_oral.yml,drugs/montelukast/pk.yml,1,drugs/montelukast/targets.yml
Motavizumab (MEDI-524),motavizumab_medi_524,iv,636.0,0.010229166666666666,7.35,1.0,drugs/motavizumab_medi_524/spec_pk1_iv.yml,drugs/motavizumab_medi_524/pk.yml,1,drugs/motavizumab_medi_524/targets.yml
Motavizumab-YTE,motavizumab_yte,iv,2040,0.0022916666666666667,6.744599316155904,1.0,drugs/motavizumab_yte/spec_pk1_iv.yml,drugs/motavizumab_yte/pk.yml,1,drugs/motavizumab_yte/targets.yml
Omeprazole,omeprazole,po,0.85,43.56,28.0,0.555,drugs/omeprazole/spec_pk1_oral.yml,drugs/omeprazole/pk.yml,4,drugs/omeprazole/targets.yml
Raltegravir,raltegravir,po,10.9,60.2,946.6676319305201,1.0,drugs/raltegravir/spec_pk1_oral.yml,drugs/raltegravir/pk.yml,1,drugs/raltegravir/targets.yml
Sildenafil,sildenafil,po,4.0,18.195113489698564,105.0,0.44,drugs/sildenafil/spec_pk1_oral.yml,drugs/sildenafil/pk.yml,6,drugs/sildenafil/targets.yml
Sufentanil,sufentanil,po,13.4,108.0,2087.868263174508,0.53,drugs/sufentanil/spec_pk1_oral.yml,drugs/sufentanil/pk.yml,1,drugs/sufentanil/targets.yml
Tefibazumab,tefibazumab,iv,420.0,0.012,7.3,1.0,drugs/tefibazumab/spec_pk1_iv.yml,drugs/tefibazumab/pk.yml,1,drugs/tefibazumab/targets.yml
